gene_name,logfc,pvalue
ENSG00000006747,0.036869722,0.01071741
ENSG00000106211,-0.137642757,0.010733727
ENSG00000111669,-0.253332461,0.010679183
ENSG00000000938,-0.316030318,0.011174554
ENSG00000026508,0.2661002,0.010994541
ENSG00000069275,-0.357413469,0.01117655
ENSG00000075399,-0.118392868,0.011120557
ENSG00000080503,0.183831922,0.011309532
ENSG00000099204,0.283607047,0.011543128
ENSG00000099800,-0.394949562,0.011189991
ENSG00000101246,-0.362196694,0.010883414
ENSG00000115414,0.043044265,0.010946445
ENSG00000132357,-0.083810512,0.011403278
ENSG00000135678,0.081089614,0.011278212
ENSG00000136758,0.308554333,0.01101169
ENSG00000138670,0.311185284,0.011034379
ENSG00000144867,-0.347274898,0.011101942
ENSG00000145241,0.298609602,0.011506896
ENSG00000153006,-0.404868023,0.011548355
ENSG00000157106,0.249480277,0.010957496
ENSG00000157895,0.294547212,0.011551973
ENSG00000162337,0.023378402,0.011521845
ENSG00000163221,-0.076859872,0.011107732
ENSG00000164054,-0.271612767,0.011500273
ENSG00000169371,-0.360626819,0.011287749
ENSG00000172840,0.047843333,0.011544644
ENSG00000198105,0.145592916,0.011017311
ENSG00000213402,-0.355307363,0.011297629
ENSG00000212907,0.208429553,0.011664718
ENSG00000112245,0.292432725,0.011715345
ENSG00000117450,-0.391776169,0.011836281
ENSG00000129351,0.309592909,0.011797746
ENSG00000189159,-0.333164553,0.011843266
ENSG00000151881,0.083577859,0.011900007
ENSG00000158470,-0.100843146,0.011924169
ENSG00000206190,-0.049640859,0.011991029
ENSG00000255819,-0.050834827,0.012036836
ENSG00000164463,0.270034557,0.012283637
ENSG00000183605,-0.163579636,0.012361289
ENSG00000039319,0.11370237,0.012517451
ENSG00000043093,0.13863292,0.012636347
ENSG00000083857,0.039259836,0.012518405
ENSG00000163220,-0.084960365,0.012550904
ENSG00000169504,0.297200183,0.012583338
ENSG00000177570,0.102782374,0.012628244
ENSG00000181381,0.10196445,0.012525669
ENSG00000184076,-0.346537472,0.012640039
ENSG00000015153,-0.347152383,0.012760006
ENSG00000121940,0.15648385,0.012766138
ENSG00000136997,0.291668076,0.012814661
ENSG00000137393,-0.259320431,0.012839225
ENSG00000171476,-0.113831478,0.012854319
ENSG00000221968,0.117935106,0.012792557
ENSG00000140382,0.242678275,0.012908721
ENSG00000143297,-0.1923616,0.012953783
ENSG00000152332,0.297942926,0.013047028
ENSG00000170185,0.208856719,0.013051054
ENSG00000186767,0.101563229,0.013026484
ENSG00000106723,0.182312719,0.013112773
ENSG00000185507,-0.374450337,0.013231295
ENSG00000198786,0.150608993,0.013291854
ENSG00000171791,0.238984317,0.013329527
ENSG00000142208,-0.301901094,0.01344175
ENSG00000128294,-0.337827008,0.013550836
ENSG00000104731,-0.286490398,0.013601069
ENSG00000117528,0.161588351,0.013639131
ENSG00000111912,0.106853377,0.013811143
ENSG00000164164,0.235845011,0.013963903
ENSG00000173120,0.275478591,0.01395243
ENSG00000157212,0.104976936,0.014011395
ENSG00000072415,0.087266082,0.014148547
ENSG00000117983,0.037251059,0.014150659
ENSG00000132965,-0.264018827,0.014209952
ENSG00000167258,0.19260722,0.014174726
ENSG00000167515,-0.274457992,0.014235633
ENSG00000198722,0.057925597,0.014095086
ENSG00000143110,-0.305329521,0.014285644
ENSG00000120370,-0.160349275,0.014362113
ENSG00000143379,0.263107881,0.014423575
ENSG00000177485,0.142550319,0.014451511
ENSG00000173436,-0.32678293,0.014603889
ENSG00000142327,-0.307888541,0.014684831
ENSG00000126882,-0.16307723,0.01476243
ENSG00000132510,0.074210734,0.01472855
ENSG00000072110,-0.104919267,0.014877504
ENSG00000142347,-0.293547351,0.014903433
ENSG00000119457,-0.066046421,0.014969024
ENSG00000169962,-0.118053065,0.015007094
ENSG00000135316,-0.291072499,0.015146742
ENSG00000277972,-0.105628674,0.015232005
ENSG00000155926,-0.274281489,0.015286674
ENSG00000006576,0.151403902,0.01548921
ENSG00000008277,-0.054488523,0.015513147
ENSG00000010818,0.259505882,0.015563793
ENSG00000122862,-0.313297685,0.015459309
ENSG00000158715,0.048331001,0.015441365
ENSG00000178075,0.096616735,0.015397555
ENSG00000270672,0.124246646,0.015529482
ENSG00000015568,0.124900911,0.015679515
ENSG00000102524,-0.096328133,0.015764233
ENSG00000110367,0.237006596,0.015863547
ENSG00000112294,-0.139367494,0.015782773
ENSG00000135905,0.140011377,0.015898503
ENSG00000181785,0.03249112,0.015746109
ENSG00000188536,0.013413609,0.015870061
ENSG00000196363,-0.194215296,0.015764841
ENSG00000204482,-0.119165773,0.015890157
ENSG00000048707,0.121379736,0.016088499
ENSG00000058866,0.091040077,0.016397453
ENSG00000095951,0.098690876,0.016362977
ENSG00000115289,-0.161080368,0.016316906
ENSG00000119703,-0.074639295,0.016048776
ENSG00000122257,0.247735509,0.016164485
ENSG00000126709,-0.216916206,0.016252783
ENSG00000133067,-0.037879763,0.016324124
ENSG00000150045,-0.081833483,0.016220882
ENSG00000167264,-0.249413613,0.016299192
ENSG00000174547,-0.291605878,0.016143247
ENSG00000204920,0.062352521,0.01633214
ENSG00000206053,-0.136846963,0.016212227
ENSG00000203666,0.056751738,0.016460271
ENSG00000108518,-0.246201787,0.016531591
ENSG00000171135,-0.282275566,0.016611229
ENSG00000183019,-0.059122571,0.016687031
ENSG00000068697,-0.263718216,0.016819449
ENSG00000109171,0.097519903,0.016771541
ENSG00000123405,-0.064475261,0.016832931
ENSG00000173402,0.082619331,0.016743752
ENSG00000179029,-0.205898948,0.016905134
ENSG00000100578,0.107854855,0.017881034
ENSG00000101336,-0.261202761,0.017916104
ENSG00000103018,-0.262616191,0.017524576
ENSG00000106261,0.136572928,0.017940665
ENSG00000111785,0.065401327,0.017409283
ENSG00000114796,0.198118228,0.017946425
ENSG00000116539,0.236339461,0.017786847
ENSG00000119705,-0.225297673,0.017235653
ENSG00000120705,0.187325663,0.017382411
ENSG00000125148,-0.097098709,0.017532567
ENSG00000128989,0.176699112,0.01752622
ENSG00000136205,0.098635482,0.01756563
ENSG00000136371,-0.134924271,0.017856132
ENSG00000136527,0.243769637,0.017855856
ENSG00000137992,-0.16280546,0.017755916
ENSG00000140993,0.065709072,0.017192516
ENSG00000154511,0.244087275,0.017265023
ENSG00000159023,0.239824159,0.017801963
ENSG00000159228,-0.257634999,0.017914164
ENSG00000163728,0.24117301,0.017571798
ENSG00000169223,-0.256705164,0.017920501
ENSG00000169876,-0.045001791,0.017594143
ENSG00000172932,-0.246883447,0.017797918
ENSG00000179119,0.111571979,0.017031799
ENSG00000197885,0.090130357,0.017660221
ENSG00000230124,0.249822174,0.017369135
ENSG00000243364,-0.144132516,0.017890987
ENSG00000262655,0.094958802,0.017292794
ENSG00000265972,0.239260812,0.01727902
ENSG00000092203,0.165847911,0.018054207
ENSG00000110446,-0.119287562,0.018289965
ENSG00000137331,-0.057995908,0.018143517
ENSG00000145414,0.104637723,0.018311796
ENSG00000147138,0.17380888,0.018247293
ENSG00000157764,0.247343085,0.018095486
ENSG00000173068,-0.045853494,0.018348297
ENSG00000181827,0.169604189,0.018178412
ENSG00000183054,0.067546943,0.018185401
ENSG00000205683,0.072540757,0.01835142
ENSG00000227345,0.103702817,0.018246395
ENSG00000112941,0.113892335,0.018599052
ENSG00000171115,-0.099987404,0.018564266
ENSG00000143869,0.108227858,0.018706662
ENSG00000138629,-0.24522545,0.018873222
ENSG00000166377,0.153574779,0.018866848
ENSG00000015475,-0.125158051,0.018968678
ENSG00000123143,-0.178543042,0.018974633
ENSG00000011198,-0.119679554,0.019174911
ENSG00000011600,-0.092348978,0.019742179
ENSG00000079432,0.08873404,0.019763134
ENSG00000113391,0.2139918,0.019571597
ENSG00000115947,0.21208224,0.019052639
ENSG00000116288,-0.260896747,0.019304772
ENSG00000118690,0.055993241,0.019684779
ENSG00000129625,-0.272320168,0.0194567
ENSG00000163607,-0.128339853,0.019602766
ENSG00000169629,0.028477312,0.019322856
ENSG00000170325,0.059056859,0.019249675
ENSG00000179088,0.084324135,0.019569076
ENSG00000183117,0.026426828,0.019785995
ENSG00000184307,0.125698017,0.019405454
ENSG00000197006,-0.21109118,0.019643788
ENSG00000197705,0.127447029,0.019205877
ENSG00000204435,-0.212874216,0.019097771
ENSG00000205277,-0.030158845,0.019490403
ENSG00000216490,-0.242106263,0.019461849
ENSG00000249115,0.241168823,0.019629329
ENSG00000254858,-0.116952425,0.019270027
ENSG00000263465,-0.136415688,0.019618746
ENSG00000196636,-0.115677182,0.019882037
ENSG00000023191,-0.247990358,0.020641598
ENSG00000083642,0.19441103,0.020201337
ENSG00000084774,-0.204746622,0.020671939
ENSG00000101181,-0.191934268,0.020567879
ENSG00000106078,-0.045683789,0.020483489
ENSG00000112305,-0.203906557,0.020619399
ENSG00000116191,0.114665067,0.020338435
ENSG00000122687,-0.241839719,0.020530677
ENSG00000137101,-0.247089291,0.020690821
ENSG00000144741,-0.236780204,0.020656836
